20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
87953,42900,45053,1964,1081,883,88851,43324,45527,2744,1631,1113,73632,36405,37227,2162,1466,696,246328,128542,117786,5672,4693,979,66405,32548,33857,368,334,34,BAKSA,ASSAM,2011
122477,60443,62034,2740,1830,910,120937,58594,62343,4140,3130,1010,91028,47927,43101,3180,2710,470,248377,134424,113953,5310,4950,360,82942,42332,40610,360,360,0,BARPETA,ASSAM,1991
135041,66616,68425,5217,3350,1867,138377,66465,71912,8668,6062,2606,119888,60710,59178,6590,5089,1501,342720,183208,159512,11817,10179,1638,102531,48820,53711,1013,961,52,BARPETA,ASSAM,2001
153925,74412,79513,5050,2581,2469,145118,71685,73433,8040,4663,3377,119874,60448,59426,7851,5117,2734,390637,203401,187236,20795,16321,4474,109890,52980,56910,2089,1919,170,BARPETA,ASSAM,2011
73300,35810,37490,1460,890,570,71612,34477,37135,2100,1430,670,52963,28953,24010,1883,1513,370,142450,77817,64633,2900,2550,350,39830,21221,18609,170,170,0,BONGAIGAON,ASSAM,1991
74334,36764,37570,2283,1409,874,75754,35624,40130,3575,2302,1273,65510,32643,32867,3221,2209,1012,193949,104995,88954,7200,5854,1346,51718,25162,26556,408,381,27,BONGAIGAON,ASSAM,2001
69865,33420,36445,2703,1310,1393,64788,32404,32384,3638,1995,1643,52115,26341,25774,3184,1943,1241,181087,93545,87542,9833,7019,2814,46586,22218,24368,975,855,120,BONGAIGAON,ASSAM,2011
107213,55530,51683,2980,1830,1150,103241,51426,51815,3688,2430,1258,85479,43781,41698,3260,2390,870,257053,140197,116856,7875,6240,1635,75739,41709,34030,851,791,60,CACHAR,ASSAM,1991
124699,63846,60853,5341,2880,2461,119710,58309,61401,7478,4196,3282,104212,52723,51489,5349,3445,1904,336095,179358,156737,14107,10375,3732,96967,49618,47349,2155,1884,271,CACHAR,ASSAM,2001
163281,81137,82144,5799,2851,2948,150898,74479,76419,8396,4303,4093,126719,63177,63542,7485,4221,3264,438251,229201,209050,21991,14652,7339,121705,62383,59322,4470,3557,913,CACHAR,ASSAM,2011
43470,20989,22481,1017,584,433,43275,21212,22063,1366,872,494,35035,17373,17662,999,666,333,116366,60531,55835,2723,2150,573,29125,14603,14522,231,199,32,CHIRANG,ASSAM,2011
116413,55690,60723,1700,1130,570,117846,56680,61166,2820,2130,690,87692,45840,41852,2580,2250,330,243379,134327,109052,3682,3330,352,69152,39587,29565,120,110,10,DARRANG,ASSAM,1991
127109,62585,64524,3526,2192,1334,131970,62660,69310,5401,3614,1787,111917,56356,55561,4476,3330,1146,325477,175782,149695,9038,7571,1467,87143,45344,41799,687,614,73,DARRANG,ASSAM,2001
80066,38805,41261,2593,1349,1244,80273,39490,40783,3957,2210,1747,66184,32878,33306,3628,2246,1382,218505,114316,104189,10655,8052,2603,59938,30682,29256,1029,909,120,DARRANG,ASSAM,2011
39667,19487,20180,760,580,180,39152,19820,19332,960,800,160,28718,15100,13618,740,660,80,81485,45918,35567,1250,1190,60,23663,13593,10070,70,50,20,DHEMAJI,ASSAM,1991
51535,25455,26080,1795,1146,649,47472,23255,24217,2696,1860,836,38621,19452,19169,2128,1644,484,112822,61650,51172,3728,3234,494,30708,16468,14240,173,166,7,DHEMAJI,ASSAM,2001
64718,31160,33558,4628,2381,2247,64194,31747,32447,6149,3486,2663,52844,27030,25814,4500,2899,1601,156657,82660,73997,8683,6680,2003,42180,21911,20269,612,546,66,DHEMAJI,ASSAM,2011
116866,57305,59561,2240,1590,650,115741,53760,61981,2730,2070,660,87820,47530,40290,2170,1820,350,229872,123983,105889,3780,3290,490,71080,35830,35250,350,330,20,DHUBRI,ASSAM,1991
132621,64949,67672,3492,2328,1164,131652,62913,68739,5757,4187,1570,112406,57160,55246,4679,3698,981,320174,170802,149372,8537,7183,1354,89810,42158,47652,654,599,55,DHUBRI,ASSAM,2001
180560,88433,92127,3821,2195,1626,164059,82678,81381,6389,4180,2209,132763,68084,64679,6419,4536,1883,415659,217140,198519,15920,12671,3249,112698,53889,58809,1686,1467,219,DHUBRI,ASSAM,2011
97917,47518,50399,4970,3020,1950,101097,51200,49897,6010,3900,2110,78987,42460,36527,4530,3000,1530,215525,123317,92208,9510,7680,1830,49865,28933,20932,610,580,30,DIBRUGARH,ASSAM,1991
111886,55387,56499,7000,3804,3196,109677,53826,55851,8913,5129,3784,93618,47443,46175,7016,4455,2561,283817,156379,127438,16937,12487,4450,65906,35213,30693,1728,1491,237,DIBRUGARH,ASSAM,2001
129599,62113,67486,8946,4011,4935,128428,63701,64727,11938,5891,6047,106968,54535,52433,9579,5309,4270,362202,189641,172561,26199,17369,8830,89468,46037,43431,3933,3131,802,DIBRUGARH,ASSAM,2011
21102,10318,10784,799,384,415,19837,10050,9787,1214,659,555,16057,8507,7550,950,587,363,51180,27791,23389,2422,1771,651,11292,6089,5203,163,138,25,DIMA HASAO,ASSAM,2011
58723,28100,30623,930,650,280,60178,29283,30895,1370,1090,280,43831,23335,20496,1090,940,150,118603,64752,53851,1746,1606,140,33259,16719,16540,90,90,0,GOALPARA,ASSAM,1991
66507,32511,33996,1626,996,630,67733,31798,35935,2672,1792,880,58173,29153,29020,2257,1707,550,166906,88877,78029,4100,3424,676,44522,21111,23411,297,274,23,GOALPARA,ASSAM,2001
94834,45526,49308,2135,1116,1019,88962,44433,44529,3670,2178,1492,69734,35460,34274,3001,1968,1033,229591,119046,110545,7818,6030,1788,57933,27618,30315,761,669,92,GOALPARA,ASSAM,2011
74170,37030,37140,2260,1390,870,73607,36302,37305,2760,1960,800,58818,31040,27778,2276,1636,640,161264,91833,69431,3890,3250,640,37274,21454,15820,110,100,10,GOLAGHAT,ASSAM,1991
86750,43436,43314,3222,1749,1473,83866,41434,42432,4886,2953,1933,71043,36048,34995,3849,2556,1293,216778,118667,98111,8912,6859,2053,50526,27465,23061,893,781,112,GOLAGHAT,ASSAM,2001
102501,48740,53761,4860,2333,2527,102215,50308,51907,6564,3447,3117,84554,42785,41769,5192,2967,2225,278932,146699,132233,14374,9895,4479,73843,38723,35120,2152,1801,351,GOLAGHAT,ASSAM,2011
38255,19885,18370,590,410,180,37017,18264,18753,690,440,250,31487,16403,15084,670,510,160,92020,49788,42232,1970,1730,240,26475,14695,11780,120,120,0,HAILAKANDI,ASSAM,1991
43743,22642,21101,1250,774,476,42419,20866,21553,1999,1394,605,38022,19188,18834,1484,1085,399,116658,62114,54544,3036,2426,610,32355,16966,15389,368,336,32,HAILAKANDI,ASSAM,2001
58960,29856,29104,1451,765,686,53887,26627,27260,1934,1153,781,45447,22849,22598,1876,1190,686,150647,79524,71123,5671,4204,1467,42990,22442,20548,811,691,120,HAILAKANDI,ASSAM,2011
83180,41571,41609,4090,2310,1780,78057,39780,38277,5000,3130,1870,62571,32518,30053,4030,2720,1310,183793,103253,80540,8934,7060,1874,44929,26058,18871,710,650,60,JORHAT,ASSAM,1991
96158,48276,47882,6116,3201,2915,92044,44928,47116,8368,4648,3720,79211,40463,38748,6652,4100,2552,243714,133384,110330,17867,13027,4840,61537,33078,28459,2228,1949,279,JORHAT,ASSAM,2001
102529,49435,53094,9375,4272,5103,104111,50848,53263,11361,5716,5645,90776,45546,45230,9063,4987,4076,307928,161303,146625,26736,17192,9544,87908,46008,41900,4911,3945,966,JORHAT,ASSAM,2011
196649,104892,91757,12040,6960,5080,194449,101711,92738,18490,12190,6300,146548,80101,66447,15090,10790,4300,410416,238666,171750,34025,28308,5717,96044,52154,43890,3064,2864,200,KAMRUP,ASSAM,1991
235986,121781,114205,24746,13389,11357,244422,121785,122637,34619,20332,14287,208428,109217,99211,27858,17846,10012,607645,343080,264565,72606,53936,18670,143126,73262,69864,9603,8394,1209,KAMRUP,ASSAM,2001
144435,71198,73237,6911,3382,3529,143282,70982,72300,9927,5517,4410,117381,58756,58625,8682,5494,3188,394454,210073,184381,22859,18123,4736,109137,53679,55458,2095,1927,168,KAMRUP,ASSAM,2011
124612,62083,62529,21921,10528,11393,128256,62306,65950,31966,15429,16537,113804,56867,56937,29626,15362,14264,390987,208861,182126,95077,59259,35818,87617,47492,40125,19053,14943,4110,KAMRUP METROPOLITAN,ASSAM,2011
54969,27971,26998,600,420,180,59054,29392,29662,1140,830,310,43131,23201,19930,1030,880,150,123995,71048,52947,1750,1530,220,34150,20590,13560,40,40,0,KARBI ANGLONG,ASSAM,1991
66075,32428,33647,1301,825,476,70335,33624,36711,2177,1468,709,57248,29602,27646,1754,1283,471,166978,93855,73123,3722,3141,581,39939,21636,18303,149,131,18,KARBI ANGLONG,ASSAM,2001
90423,44184,46239,2649,1474,1175,86290,42721,43569,3564,2205,1359,68647,34720,33927,2531,1703,828,218262,116657,101605,5831,4436,1395,49953,26100,23853,351,306,45,KARBI ANGLONG,ASSAM,2011
70276,35377,34899,1540,940,600,68094,32918,35176,1730,1200,530,54235,28230,26005,1250,940,310,172305,92294,80011,3675,3110,565,55378,29858,25520,320,310,10,KARIMGANJ,ASSAM,1991
83433,42944,40489,2988,1809,1179,80724,39365,41359,3803,2414,1389,69317,35350,33967,2703,1915,788,220110,116672,103438,6792,5339,1453,68344,35019,33325,800,710,90,KARIMGANJ,ASSAM,2001
112858,56340,56518,2647,1318,1329,100876,50614,50262,3675,2057,1618,82193,41297,40896,3626,2314,1312,279937,146816,133121,10055,7259,2796,86228,43141,43087,1726,1469,257,KARIMGANJ,ASSAM,2011
76730,37210,39520,1320,980,340,74287,36778,37509,1540,1200,340,53467,28303,25164,1180,920,260,141923,79132,62791,2123,1943,180,39108,22190,16918,140,120,20,KOKRAJHAR,ASSAM,1991
73634,35561,38073,1502,1003,499,76998,36111,40887,2803,2016,787,67061,33493,33568,2578,2029,549,190291,103867,86424,4451,3816,635,46360,23538,22822,247,233,14,KOKRAJHAR,ASSAM,2001
81497,39679,41818,2115,1200,915,79246,39920,39326,3159,2000,1159,63643,31687,31956,2606,1744,862,215742,112568,103174,7421,5871,1550,54286,26827,27459,676,598,78,KOKRAJHAR,ASSAM,2011
67027,32831,34196,1951,1271,680,62411,31433,30978,2725,1910,815,48960,25752,23208,2100,1650,450,133017,74190,58827,3480,3150,330,39748,22021,17727,250,230,20,LAKHIMPUR,ASSAM,1991
81718,39819,41899,3344,1982,1362,76290,36996,39294,5072,3222,1850,62727,31496,31231,4185,2946,1239,185763,101012,84751,8625,7079,1546,51175,26936,24239,645,583,62,LAKHIMPUR,ASSAM,2001
95594,45629,49965,6125,2997,3128,93980,45488,48492,8442,4666,3776,81142,40559,40583,6891,4194,2697,252262,132733,119529,16634,12222,4412,69083,35379,33704,1596,1401,195,LAKHIMPUR,ASSAM,2011
51857,25180,26677,770,540,230,55627,26856,28771,1430,980,450,41698,22038,19660,1168,928,240,115464,62845,52619,1744,1584,160,36506,19906,16600,60,60,0,MARIGAON,ASSAM,1991
63310,31363,31947,1970,1206,764,64838,31043,33795,2649,1723,926,55358,27795,27563,2112,1544,568,159280,85781,73499,4302,3580,722,45639,23007,22632,266,248,18,MARIGAON,ASSAM,2001
85234,41056,44178,2439,1273,1166,82688,40912,41776,3365,1965,1400,67532,33840,33692,2955,1890,1065,213981,111194,102787,7577,5692,1885,61982,30711,31271,682,624,58,MORIGAON,ASSAM,2011
170612,85945,84667,4740,3020,1720,167113,80510,86603,5460,3760,1700,128681,68220,60461,4406,3200,1206,348841,193833,155008,8350,7150,1200,114022,61745,52277,530,520,10,NAGAON,ASSAM,1991
193569,97445,96124,7294,4144,3150,195568,94688,100880,10403,6316,4087,166780,84305,82475,8551,5825,2726,483317,261061,222256,17934,13938,3996,147002,74740,72262,1758,1602,156,NAGAON,ASSAM,2001
255222,124381,130841,8376,4020,4356,244191,121158,123033,12053,6339,5714,199547,100308,99239,10545,6194,4351,653415,341510,311905,30602,21380,9222,191184,97085,94099,4162,3517,645,NAGAON,ASSAM,2011
94729,48282,46447,2830,1990,840,90531,45749,44782,4320,3550,770,67174,34458,32716,3030,2420,610,197498,106606,90892,4810,4460,350,54716,28856,25860,210,210,0,NALBARI,ASSAM,1991
103055,52282,50773,4923,2882,2041,104879,51528,53351,7332,4839,2493,87841,45249,42592,5770,4304,1466,258209,140208,118001,11294,9762,1532,75246,37367,37879,910,869,41,NALBARI,ASSAM,2001
73124,36417,36707,4703,2234,2469,72423,35542,36881,6775,3639,3136,61165,30987,30178,6016,3694,2322,204979,109883,95096,16298,12512,3786,62985,31013,31972,1912,1747,165,NALBARI,ASSAM,2011
13870,7160,6710,180,100,80,14792,7595,7197,490,340,150,10579,5890,4689,660,590,70,30632,18410,12222,960,860,100,6050,3730,2320,30,30,0,NORTH CACHAR HILLS,ASSAM,1991
17238,8795,8443,581,319,262,16894,8514,8380,962,622,340,13840,7589,6251,838,591,247,41952,24247,17705,1651,1386,265,8605,4855,3750,87,75,12,NORTH CACHAR HILLS,ASSAM,2001
85654,41071,44583,3640,1970,1670,84563,42569,41994,3920,2430,1490,65857,35752,30105,3330,2380,950,187671,107639,80032,6370,5320,1050,47504,28034,19470,350,320,30,SIBSAGAR,ASSAM,1991
97274,48327,48947,5025,2562,2463,96143,47051,49092,6907,3809,3098,84199,42615,41584,5592,3438,2154,254145,140747,113398,12793,9575,3218,64472,34853,29619,1324,1197,127,SIBSAGAR,ASSAM,2001
108099,52081,56018,7709,3455,4254,106906,52483,54423,9565,4778,4787,91388,46077,45311,7499,4191,3308,326023,172321,153702,20355,13348,7007,85246,44989,40257,3168,2651,517,SIVASAGAR,ASSAM,2011
128974,63767,65207,4060,2510,1550,132650,65488,67162,4610,3410,1200,100955,54008,46947,3750,2790,960,283092,162451,120641,7450,6200,1250,71840,41170,30670,530,400,130,SONITPUR,ASSAM,1991
145612,72621,72991,5952,3330,2622,145738,71235,74503,7962,4808,3154,125734,63572,62162,6568,4411,2157,385213,213494,171719,14246,11172,3074,93987,50096,43891,1341,1198,143,SONITPUR,ASSAM,2001
177180,84940,92240,6324,3039,3285,176490,87655,88835,9477,5059,4418,145666,74262,71404,8329,4888,3441,486394,257470,228924,23087,16186,6901,130827,69239,61588,3245,2716,529,SONITPUR,ASSAM,2011
86592,42844,43748,2599,1560,1039,90097,45274,44823,3750,2460,1290,70186,38151,32035,2830,2000,830,194953,112696,82257,5500,4630,870,45186,26836,18350,350,330,20,TINSUKIA,ASSAM,1991
103851,52033,51818,3238,1718,1520,102428,51363,51065,4852,2659,2193,87047,44492,42555,4311,2708,1603,263770,146781,116989,11522,8828,2694,62748,33873,28875,990,876,114,TINSUKIA,ASSAM,2001
129219,62089,67130,5883,2782,3101,124908,62195,62713,7413,3769,3644,102664,52484,50180,5536,3136,2400,340206,180201,160005,16986,11314,5672,84665,44029,40636,2527,2105,422,TINSUKIA,ASSAM,2011
78545,38259,40286,2042,1092,950,76715,38080,38635,2695,1624,1071,62586,30985,31601,2044,1368,676,215504,112098,103406,5290,4187,1103,53390,27002,26388,358,321,37,UDALGURI,ASSAM,2011
120882,57890,62992,3770,3270,500,126728,61363,65365,3690,3320,370,117745,57800,59945,2670,2470,200,319721,176535,143186,5200,4950,250,95887,56047,39840,380,370,10,ARARIA,BIHAR,1991
155309,76370,78939,3346,2685,661,157184,76851,80333,5603,4733,870,148364,72103,76261,5334,4612,722,443817,237078,206739,11610,10647,963,116295,62832,53463,923,896,27,ARARIA,BIHAR,2001
208174,105196,102978,6103,4399,1704,204931,102392,102539,6598,5060,1538,185551,91592,93959,4863,3833,1030,581963,305702,276261,17162,15003,2159,168589,92380,76209,2042,1928,114,ARARIA,BIHAR,2011
53198,27608,25590,2780,2024,756,50385,25057,25328,3153,2412,741,48146,23998,24148,2588,2061,527,149637,77646,71991,8793,7855,938,56798,30477,26321,1309,1257,52,ARWAL,BIHAR,2011
129329,63490,65839,6604,5760,844,111158,56572,54586,5740,5310,430,99808,48650,51158,3250,2980,270,320131,169173,150958,7654,7254,400,106421,60893,45528,830,800,30,AURANGABAD,BIHAR,1991
160853,78867,81986,6637,5238,1399,145499,71385,74114,10989,9145,1844,135839,66923,68916,9959,8683,1276,412104,216135,195969,18206,16856,1350,140943,77962,62981,2167,2094,73,AURANGABAD,BIHAR,2001
195979,101220,94759,12704,8454,4250,190339,95495,94844,14240,10434,3806,175944,87842,88102,11008,8424,2584,532494,278561,253933,34615,30016,4599,197081,106971,90110,4901,4610,291,AURANGABAD,BIHAR,2011
119174,60438,58736,3035,2480,555,117538,57565,59973,5134,4304,830,111405,55098,56307,4719,4083,636,348716,183802,164914,10121,9287,834,109859,57985,51874,1475,1427,48,BANKA,BIHAR,2001
157870,82760,75110,6172,4325,1847,155237,77588,77649,6429,4762,1667,141306,71419,69887,4913,3702,1211,441767,231876,209891,16349,13955,2394,157870,82913,74957,2819,2645,174,BANKA,BIHAR,2011
135807,67160,68647,7180,5280,1900,124288,61600,62688,7018,5580,1438,118089,56990,61099,4080,3370,710,379694,201990,177704,11100,10210,890,111573,60640,50933,1040,980,60,BEGUSARAI,BIHAR,1991
187186,94328,92858,7542,5261,2281,167892,82688,85204,12216,9076,3140,152113,75491,76622,11031,8537,2494,479993,248553,231440,22970,19596,3374,146463,77401,69062,3158,2983,175,BEGUSARAI,BIHAR,2001
245902,129191,116711,16015,10272,5743,230578,116743,113835,16032,10883,5149,206795,105499,101296,11975,8292,3683,600277,315510,284767,38396,29837,8559,207798,109718,98080,6688,6018,670,BEGUSARAI,BIHAR,2011
249290,127256,122034,13720,10510,3210,234353,118383,115970,11930,10220,1710,224280,112442,111838,9250,7890,1360,675271,364951,310320,21886,20196,1690,210144,117254,92890,2460,2280,180,BHAGALPUR,BIHAR,1991
185548,101601,83947,11100,7610,3490,173917,88490,85427,16047,12055,3992,160408,81032,79376,13261,10271,2990,513626,274143,239483,32868,27777,5091,160873,86352,74521,5275,4965,310,BHAGALPUR,BIHAR,2001
246480,135459,111021,20759,13117,7642,231196,119337,111859,22563,15158,7405,207274,106314,100960,16819,11723,5096,644721,342732,301989,52045,40788,11257,220319,118745,101574,10366,9347,1019,BHAGALPUR,BIHAR,2011
234544,117646,116898,13470,11500,1970,207635,106185,101450,12238,10638,1600,183821,90370,93451,7910,7160,750,596057,305456,290601,16830,15750,1080,207961,115661,92300,2274,2224,50,BHOJPUR,BIHAR,1991
176220,91801,84419,10367,8170,2197,161822,81016,80806,15022,12451,2571,149456,74088,75368,12116,10377,1739,467176,241139,226037,26159,23668,2491,167458,91956,75502,4132,3981,151,BHOJPUR,BIHAR,2001
217957,117121,100836,20447,13922,6525,203981,103208,100773,21157,15405,5752,187150,92852,94298,15616,11896,3720,593180,305878,287302,44560,37860,6700,220131,118820,101311,8047,7528,519,BHOJPUR,BIHAR,2011
105777,54182,51595,5673,4491,1182,100297,49631,50666,8490,7129,1361,93347,45994,47353,6998,6086,912,292924,152296,140628,14823,13676,1147,107126,58561,48565,2341,2250,91,BUXAR,BIHAR,2001
129313,67837,61476,11545,7663,3882,122622,60818,61804,12391,8955,3436,112922,55331,57591,8699,6561,2138,368900,188903,179997,25500,22059,3441,147548,79800,67748,4735,4483,252,BUXAR,BIHAR,2011
193609,94900,98709,12040,10070,1970,187378,90962,96416,10570,9050,1520,178214,86035,92179,6323,5643,680,530488,279817,250671,15700,14710,990,154708,82494,72214,1770,1720,50,DARBHANGA,BIHAR,1991
250663,126780,123883,11796,8927,2869,231200,114234,116966,17518,13783,3735,218831,106110,112721,15141,12335,2806,691599,361855,329744,33435,29406,4029,211815,108390,103425,4618,4400,218,DARBHANGA,BIHAR,2001
308335,164707,143628,19278,12879,6399,281655,141976,139679,20817,14527,6290,260582,129900,130682,16632,12193,4439,843458,436013,407445,52062,42793,9269,291245,150450,140795,8933,8296,637,DARBHANGA,BIHAR,2011
73532,36672,36860,2710,2230,480,68922,35421,33501,3288,2958,330,68005,34456,33549,2240,1800,440,192570,103057,89513,5147,4660,487,53486,29496,23990,620,610,10,DEOGHAR,BIHAR,1991
212698,117105,95593,20050,14380,5670,196884,101374,95510,17203,12503,4700,187646,95546,92100,14650,11730,2920,636353,382787,253566,40936,35590,5346,94777,51717,43060,1890,1720,170,DHANBAD,BIHAR,1991
125809,60569,65240,2789,2269,520,124387,61908,62479,2700,2280,420,112313,57947,54366,1865,1645,220,337021,176980,160041,3891,3680,211,81325,41710,39615,320,310,10,DUMKA,BIHAR,1991
223853,110026,113827,13870,11020,2850,195290,99480,95810,11020,9530,1490,176273,89564,86709,6320,5360,960,541884,286041,255843,15850,14690,1160,173970,96389,77581,1710,1640,70,GAYA,BIHAR,1991
284254,139590,144664,13126,9626,3500,253707,125586,128121,19737,15353,4384,235817,117082,118735,16713,13672,3041,700228,368539,331689,32696,28632,4064,230859,124932,105927,4258,4000,258,GAYA,BIHAR,2001
353243,181031,172212,20951,13596,7355,331833,165836,165997,24113,17043,7070,294317,147701,146616,18758,13637,5121,880199,458574,421625,52327,42891,9436,299447,160171,139276,8246,7482,764,GAYA,BIHAR,2011
183279,89789,93490,6478,5018,1460,170843,84328,86515,6640,5630,1010,151603,75532,76071,4620,3970,650,467647,248029,219618,9295,8577,718,116892,63162,53730,620,600,20,GIRIDIH,BIHAR,1991
68134,33963,34171,2120,1770,350,68259,33837,34422,2410,2200,210,64061,32370,31691,1420,1320,100,191318,102239,89079,3160,3020,140,51210,27780,23430,280,270,10,GODDA,BIHAR,1991
121712,57712,64000,3530,2880,650,114575,53363,61212,3313,2943,370,108670,48362,60308,1940,1790,150,364948,180428,184520,5130,4840,290,113260,62350,50910,410,410,0,GOPALGANJ,BIHAR,1991
147617,69241,78376,4265,3273,992,140041,62625,77416,6128,5042,1086,132612,58893,73719,4703,4026,677,448513,218557,229956,11923,10886,1037,156361,81840,74521,1474,1435,39,GOPALGANJ,BIHAR,2001
184707,91622,93085,12428,7501,4927,173241,78249,94992,11042,7425,3617,162609,71764,90845,7267,5263,2004,542343,258068,284275,19594,16466,3128,211912,110666,101246,3797,3530,267,GOPALGANJ,BIHAR,2011
86056,39550,46506,3420,2310,1110,84552,41324,43228,3460,2780,680,75775,36080,39695,2445,2030,415,279614,143155,136459,4721,4139,582,74330,39660,34670,260,240,20,GUMLA,BIHAR,1991
227625,113340,114285,11270,8470,2800,207750,101813,105937,10680,8610,2070,187238,93388,93850,7752,6612,1140,593143,318952,274191,15590,13970,1620,147936,76376,71560,1180,1100,80,HAZARIBAG,BIHAR,1991
110192,55366,54826,2567,2076,491,102228,50198,52030,3783,3107,676,94939,47661,47278,3226,2784,442,294359,154840,139519,6454,5936,518,84693,45210,39483,818,784,34,JAMUI,BIHAR,2001
143841,73967,69874,5210,3743,1467,138761,69020,69741,5474,4117,1357,122841,62820,60021,4007,3070,937,372150,194762,177388,10878,9295,1583,124077,66338,57739,1789,1694,95,JAMUI,BIHAR,2011
102760,49408,53352,5340,4640,700,87484,43450,44034,4470,4080,390,78210,39376,38834,2720,2510,210,237893,125426,112467,5695,5465,230,87699,49703,37996,730,710,20,JEHANABAD,BIHAR,1991
123884,61151,62733,5596,4452,1144,112522,55637,56885,9314,7713,1601,105221,51937,53284,8598,7356,1242,312362,163580,148782,15229,14095,1134,111428,60943,50485,2196,2120,76,JEHANABAD,BIHAR,2001
87943,45094,42849,5458,3698,1760,83948,41890,42058,6584,4840,1744,79563,40134,39429,5617,4307,1310,240239,125502,114737,17410,14815,2595,89886,48274,41612,2942,2805,137,JEHANABAD,BIHAR,2011
95406,46968,48438,4202,3324,878,89936,45115,44821,6060,5161,899,85979,42500,43479,5251,4619,632,267131,140582,126549,11198,10492,706,94662,51154,43508,1336,1290,46,KAIMUR BHABUA,BIHAR,2001
118335,61113,57222,11020,7375,3645,114938,57753,57185,10818,7889,2929,105874,52449,53425,7335,5618,1717,344759,179529,165230,20272,17668,2604,129588,69109,60479,3125,2911,214,KAIMUR BHABUA,BIHAR,2011
137648,69171,68477,5320,4230,1090,138920,66757,72163,4392,3660,732,127997,63346,64651,2890,2580,310,365026,200049,164977,7651,7151,500,103521,56921,46600,640,620,20,KATIHAR,BIHAR,1991
170164,86307,83857,5649,4167,1482,168850,82701,86149,8793,6938,1855,161729,79678,82051,7596,6245,1351,491923,261287,230636,15628,13796,1832,131199,67722,63477,1760,1640,120,KATIHAR,BIHAR,2001
242945,127163,115782,9069,5880,3189,224575,114052,110523,10038,6983,3055,197318,99018,98300,7401,5486,1915,635903,334403,301500,23180,19307,3873,180665,95317,85348,3179,2969,210,KATIHAR,BIHAR,2011
73236,36559,36677,2780,2250,530,70726,35780,34946,2479,2130,349,69290,34679,34611,1710,1500,210,209343,114108,95235,3870,3560,310,62341,34280,28061,460,430,30,KHAGARIA,BIHAR,1991
98059,49730,48329,2829,2117,712,90584,45435,45149,4660,3740,920,83921,41651,42270,4167,3444,723,258329,136888,121441,8480,7530,950,77100,41047,36053,1128,1085,43,KHAGARIA,BIHAR,2001
130795,67910,62885,5690,3838,1852,122983,62588,60395,6120,4307,1813,111990,56632,55358,4539,3388,1151,332270,176746,155524,13632,11168,2464,107067,57374,49693,2305,2133,172,KHAGARIA,BIHAR,2011
76052,40531,35521,1781,1520,261,77007,37687,39320,1870,1640,230,69252,33682,35570,1290,1150,140,198609,107659,90950,2590,2440,150,52543,30145,22398,200,190,10,KISHANGANJ,BIHAR,1991
91608,48830,42778,1878,1466,412,91352,44770,46582,2965,2501,464,86009,41630,44379,2438,2148,290,269104,141920,127184,5772,5378,394,63000,32487,30513,565,533,32,KISHANGANJ,BIHAR,2001
126113,66333,59780,2963,2028,935,117678,58917,58761,3352,2455,897,102972,50634,52338,2644,2017,627,352225,183251,168974,8406,7351,1055,94364,49392,44972,1011,940,71,KISHANGANJ,BIHAR,2011
