20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
133332,70676,62656,3776,2100,1676,114979,58804,56175,1414,1035,379,108625,54671,53954,1045,788,257,358985,185722,173263,2257,1832,425,142899,69099,73800,280,262,18,SHAJAPUR,MADHYA PRADESH,2011
46447,24084,22363,1274,854,420,43196,22617,20579,1632,1288,344,38729,20090,18639,1347,1095,252,106601,57598,49003,2796,2477,319,30944,15318,15626,208,194,14,SHEOPUR,MADHYA PRADESH,2001
65743,34996,30747,2984,1963,1021,54056,28849,25207,3076,2189,887,47213,24386,22827,2095,1511,584,146724,77776,68948,5118,4253,865,43542,21242,22300,552,502,50,SHEOPUR,MADHYA PRADESH,2011
92084,49295,42789,2733,1615,1118,103227,54847,48380,3342,2200,1142,72182,39207,32975,2821,2170,651,218973,119587,99386,5140,4450,690,73185,39485,33700,310,310,0,SHIVPURI,MADHYA PRADESH,1991
125023,66201,58822,4507,2849,1658,111094,58872,52222,5382,3666,1716,98505,51929,46576,4379,3136,1243,287546,155911,131635,11021,8785,2236,91641,46609,45032,1084,965,119,SHIVPURI,MADHYA PRADESH,2001
158408,86474,71934,9898,5981,3917,136350,72606,63744,10207,6573,3634,120216,62655,57561,6976,4592,2384,372594,199258,173336,17385,12844,4541,124831,63011,61820,2497,2205,292,SHIVPURI,MADHYA PRADESH,2011
113737,54607,59130,2787,2107,680,112036,56750,55286,3740,3060,680,93902,48700,45202,3194,2760,434,268886,144154,124732,5490,5070,420,78540,41910,36630,280,220,60,SIDHI,MADHYA PRADESH,1991
140254,68738,71516,4248,3131,1117,135397,67934,67463,6249,4758,1491,128524,62914,65610,6324,4805,1519,358397,190430,167967,13704,11801,1903,118998,61399,57599,850,815,35,SIDHI,MADHYA PRADESH,2001
97863,50330,47533,5701,3620,2081,80858,40699,40159,6858,4690,2168,74796,36577,38219,5159,3695,1464,243693,123689,120004,12193,10181,2012,86155,43433,42722,1428,1349,79,SIDHI,MADHYA PRADESH,2011
106329,56703,49626,6355,3927,2428,85065,44812,40253,6156,4241,1915,78631,39788,38843,4497,3333,1164,252776,133245,119531,12544,9781,2763,74058,37851,36207,800,669,131,SINGRAULI,MADHYA PRADESH,2011
170084,79626,90458,4790,3120,1670,180657,87979,92678,6160,4610,1550,156110,79990,76120,4380,3660,720,473325,251858,221467,7350,6460,890,136068,71455,64613,260,220,40,SURGUJA,MADHYA PRADESH,1991
81974,41543,40431,2660,1750,910,70181,36385,33796,2540,1930,610,59954,32184,27770,2243,1840,403,188117,101478,86639,3050,2740,310,64418,34858,29560,200,160,40,TIKAMGARH,MADHYA PRADESH,1991
105010,54105,50905,2995,1870,1125,94078,49306,44772,3797,2595,1202,84539,43195,41344,3778,2829,949,241191,129677,111514,7827,6552,1275,82674,42621,40053,694,644,50,TIKAMGARH,MADHYA PRADESH,2001
128450,68050,60400,6433,3655,2778,114192,59309,54883,6540,4022,2518,104949,53754,51195,4849,3116,1733,328067,173714,154353,13748,10498,3250,112683,57551,55132,1659,1481,178,TIKAMGARH,MADHYA PRADESH,2011
122941,61815,61126,8710,4700,4010,109783,54227,55556,10090,6300,3790,94678,49800,44878,6990,4850,2140,285310,151399,133911,17150,13470,3680,99505,49962,49543,1260,1070,190,UJJAIN,MADHYA PRADESH,1991
152613,79308,73305,10654,5745,4909,130909,65362,65547,12568,7234,5334,123990,62243,61747,10820,6563,4257,381974,200457,181517,32314,22795,9519,131343,61603,69740,4204,3476,728,UJJAIN,MADHYA PRADESH,2001
183832,95506,88326,16077,8509,7568,162464,82191,80273,19487,11020,8467,148882,75566,73316,15430,8842,6588,502623,257940,244683,46700,29784,16916,177299,82046,95253,9413,7277,2136,UJJAIN,MADHYA PRADESH,2011
42049,20880,21169,1437,943,494,40856,20634,20222,2085,1455,630,38202,18700,19502,2065,1568,497,109093,57687,51406,3954,3354,600,33850,16809,17041,281,259,22,UMARIA,MADHYA PRADESH,2001
59844,30799,29045,3182,1854,1328,51127,26622,24505,3796,2475,1321,45175,22631,22544,2782,1915,867,153012,79550,73462,7125,5679,1446,42937,21164,21773,597,544,53,UMARIA,MADHYA PRADESH,2011
85911,44239,41672,3460,1770,1690,79616,41950,37666,4160,2830,1330,64386,34522,29864,2970,2210,760,190086,102453,87633,5850,4900,950,62160,33040,29120,330,280,50,VIDISHA,MADHYA PRADESH,1991
103962,56010,47952,6391,4149,2242,91814,47622,44192,7052,4790,2262,83705,42978,40727,5266,3617,1649,238841,128968,109873,12739,9769,2970,90671,46273,44398,1159,1031,128,VIDISHA,MADHYA PRADESH,2001
128079,70773,57306,9604,5487,4117,113137,58617,54520,11007,6741,4266,103574,53576,49998,9159,5964,3195,315286,167887,147399,21495,15279,6216,119835,60452,59383,3107,2590,517,VIDISHA,MADHYA PRADESH,2011
169487,84507,84980,4790,3290,1500,160471,78195,82276,5840,4360,1480,141597,73603,67994,4770,3850,920,386136,199989,186147,8920,7780,1140,131262,65393,65869,500,480,20,WEST NIMAR,MADHYA PRADESH,1991
128202,67159,61043,4986,3066,1920,112666,56051,56615,5754,3908,1846,110777,55292,55485,5048,3580,1468,315950,165075,150875,12667,10157,2510,105943,48385,57558,1191,1103,88,WEST NIMAR,MADHYA PRADESH,2001
288490,145440,143050,19280,14150,5130,266002,127168,138834,18210,14080,4130,235602,117639,117963,12708,10238,2470,778967,400282,378685,26120,22000,4120,246547,122777,123770,1260,1110,150,AHMADNAGAR,MAHARASHTRA,1991
347786,184753,163033,29826,19028,10798,307491,149907,157584,33768,23936,9832,290367,143302,147065,26011,20121,5890,939421,482366,457055,55669,45539,10130,398959,185791,213168,4347,3647,700,AHMADNAGAR,MAHARASHTRA,2001
440174,227933,212241,54971,32362,22609,380662,195395,185267,52126,33677,18449,329685,165825,163860,36020,23422,12598,1190808,604557,586251,95899,72786,23113,510891,240623,270268,13156,10831,2325,AHMADNAGAR,MAHARASHTRA,2011
192967,99835,93132,7310,4440,2870,172259,85340,86919,8400,5920,2480,147127,74691,72436,6050,4710,1340,485243,250480,234763,14033,11863,2170,169273,84536,84737,970,860,110,AKOLA,MAHARASHTRA,1991
143335,78600,64735,11888,6692,5196,128364,63885,64479,13980,8618,5362,116930,58684,58246,10414,7100,3314,376163,196765,179398,24743,19131,5612,153042,71742,81300,2652,2311,341,AKOLA,MAHARASHTRA,2001
176234,92678,83556,16602,8385,8217,154053,80012,74041,19895,11051,8844,135083,68964,66119,15536,8951,6585,493913,255243,238670,42023,28637,13386,182136,85643,96493,7006,5786,1220,AKOLA,MAHARASHTRA,2011
202818,109409,93409,10256,5626,4630,172364,85475,86889,10410,7540,2870,146621,75954,70667,7380,5570,1810,496227,256232,239995,17781,14961,2820,178319,95150,83169,1390,1260,130,AMRAVATI,MAHARASHTRA,1991
234721,126484,108237,22063,10905,11158,210940,106405,104535,25910,15226,10684,191636,97194,94442,19244,12781,6463,609697,321533,288164,42150,32188,9962,260732,127021,133711,4975,4321,654,AMRAVATI,MAHARASHTRA,2001
278265,144101,134164,31583,14477,17106,238715,122465,116250,36626,18651,17975,215896,109602,106294,28995,15689,13306,799774,415529,384245,79446,51891,27555,321144,155366,165778,13772,11239,2533,AMRAVATI,MAHARASHTRA,2011
191919,98549,93370,11400,7580,3820,177602,89190,88412,12560,9060,3500,150142,76982,73160,9290,6910,2380,471505,245629,225876,20513,17023,3490,146945,70886,76059,1210,1070,140,AURANGABAD,MAHARASHTRA,1991
251725,132672,119053,25370,16375,8995,230310,113818,116492,31928,21450,10478,209904,106414,103490,22996,16422,6574,590586,311496,279090,45502,34877,10625,258624,116286,142338,4886,4105,781,AURANGABAD,MAHARASHTRA,2001
373898,192951,180947,41974,24284,17690,326627,167336,159291,53234,32890,20344,276517,141107,135410,41724,26732,14992,865372,449870,415502,95099,67209,27890,339814,155963,183851,13839,11061,2778,AURANGABAD,MAHARASHTRA,2011
184805,93245,91560,5860,3670,2190,165841,81171,84670,6700,4980,1720,149214,74197,75017,4490,3540,950,510555,259890,250665,11074,9774,1300,156987,74198,82789,460,430,30,BHANDARA,MAHARASHTRA,1991
101237,53331,47906,7508,4280,3228,91039,46852,44187,9286,6167,3119,83457,42608,40849,7447,5366,2081,294248,148459,145789,14449,11748,2701,99820,44482,55338,987,906,81,BHANDARA,MAHARASHTRA,2001
114384,58687,55697,10506,4953,5553,101101,52388,48713,13272,7213,6059,90651,46272,44379,10472,6164,4308,351163,178471,172692,26528,18823,7705,124060,55271,68789,3445,2896,549,BHANDARA,MAHARASHTRA,2011
138230,69234,68996,4941,3970,971,134148,63803,70345,5310,4410,900,120833,60634,60199,4440,3920,520,410970,210918,200052,10080,9370,710,142145,69845,72300,400,340,60,BID,MAHARASHTRA,1991
157710,83805,73905,16949,12747,4202,146673,70922,75751,18084,14330,3754,146431,71451,74980,11979,10055,1924,464629,239141,225488,21824,19249,2575,248444,114201,134243,1548,1438,110,BID,MAHARASHTRA,2001
244593,131929,112664,28486,19006,9480,203796,105131,98665,31742,22798,8944,177318,89165,88153,23497,17571,5926,616016,312601,303415,42805,35316,7489,315717,147173,168544,5315,4791,524,BID,MAHARASHTRA,2011
153349,76651,76698,4210,2700,1510,144042,69978,74064,4070,3240,830,125509,60798,64711,3420,2780,640,421876,217565,204311,8465,7745,720,141756,70566,71190,510,440,70,BULDANA,MAHARASHTRA,1991
186250,100220,86030,10880,7355,3525,161902,79618,82284,13097,9638,3459,152546,75303,77243,9969,8004,1965,502094,258842,243252,20258,17355,2903,221095,101361,119734,1973,1818,155,BULDANA,MAHARASHTRA,2001
251706,133914,117792,20405,12960,7445,217606,113830,103776,21054,14284,6770,184992,94081,90911,14798,10085,4713,653234,334423,318811,36698,29133,7565,276685,126898,149787,5866,5191,675,BULDANA,MAHARASHTRA,2011
161639,82243,79396,4703,2583,2120,151805,74855,76950,7410,5350,2060,127590,66604,60986,6137,4717,1420,408155,214604,193551,10680,9020,1660,121441,59644,61797,530,430,100,CHANDRAPUR,MAHARASHTRA,1991
188478,99826,88652,12357,6835,5522,181088,91563,89525,16476,10397,6079,160693,82764,77929,13647,9662,3985,509259,267530,241729,25999,20642,5357,173532,80295,93237,1506,1334,172,CHANDRAPUR,MAHARASHTRA,2001
217324,110798,106526,19990,9319,10671,193336,98506,94830,25186,13809,11377,174343,89689,84654,19516,11620,7896,642758,331919,310839,47668,33719,13949,216508,101614,114894,5054,4186,868,CHANDRAPUR,MAHARASHTRA,2011
215262,107233,108029,11750,9160,2590,200090,97551,102539,10450,8420,2030,175290,87441,87849,7069,5822,1247,553498,285868,267630,16110,14220,1890,162899,78059,84840,1330,1220,110,DHULE,MAHARASHTRA,1991
150393,81892,68501,11426,7441,3985,126100,62119,63981,12446,8486,3960,118045,57955,60090,11269,8574,2695,391623,201713,189910,22946,18528,4418,158756,69047,89709,2218,1966,252,DHULE,MAHARASHTRA,2001
186115,96888,89227,18929,10715,8214,166244,84645,81599,18713,11810,6903,147777,74182,73595,13221,8454,4767,521137,265619,255518,39846,29352,10494,195741,89542,106199,5680,4648,1032,DHULE,MAHARASHTRA,2011
67914,31993,35921,840,600,240,66433,32163,34270,1431,1121,310,58012,29887,28125,1237,1137,100,179817,94990,84827,1980,1870,110,49722,24842,24880,30,20,10,GADCHIROLI,MAHARASHTRA,1991
79342,39188,40154,2571,1554,1017,81619,39964,41655,4138,2899,1239,74874,37584,37290,3949,3060,889,228254,118912,109342,5753,5024,729,67777,30936,36841,162,150,12,GADCHIROLI,MAHARASHTRA,2001
102773,52135,50638,5624,2992,2632,89335,45571,43764,6749,4241,2508,78149,39181,38968,5205,3430,1775,292953,149180,143773,12543,9862,2681,93864,43203,50661,779,676,103,GADCHIROLI,MAHARASHTRA,2011
102477,52380,50097,5229,3048,2181,94147,47008,47139,7019,4697,2322,90516,44678,45838,6373,4645,1728,309723,155060,154663,11114,9041,2073,98183,44140,54043,911,838,73,GONDIYA,MAHARASHTRA,2001
124979,63322,61657,9441,4531,4910,107491,54798,52693,11024,6051,4973,100256,50275,49981,8940,5412,3528,390173,195850,194323,21807,15769,6038,125590,56010,69580,2603,2261,342,GONDIYA,MAHARASHTRA,2011
1089173,614230,474943,144480,69820,74660,1031851,567192,464659,150840,82220,68620,863645,492355,371290,127945,73725,54220,2487914,1439307,1048607,298940,195900,103040,515140,268620,246520,41240,32450,8790,GREATER BOMBAY,MAHARASHTRA,1991
75504,38904,36600,3397,2569,828,72927,34922,38005,5251,4354,897,69377,34548,34829,3638,3171,467,199816,103444,96372,6320,5779,541,103642,46241,57401,507,474,33,HINGOLI,MAHARASHTRA,2001
108312,57728,50584,7568,5283,2285,94089,47464,46625,6602,4834,1768,84581,41930,42651,5056,3790,1266,274718,138909,135809,12644,10812,1832,124434,57573,66861,1660,1516,144,HINGOLI,MAHARASHTRA,2011
273317,140981,132336,16005,11295,4710,246609,118027,128582,14591,11380,3211,218323,108917,109406,10230,8260,1970,712046,364242,347804,20880,18320,2560,241052,114369,126683,1500,1370,130,JALGAON,MAHARASHTRA,1991
328583,178262,150321,21111,13123,7988,278899,138165,140734,24222,16286,7936,258985,127649,131336,21942,16322,5620,853395,443759,409636,46514,37117,9397,357971,157606,200365,5206,4590,616,JALGAON,MAHARASHTRA,2001
400533,213114,187419,40319,22849,17470,354311,182723,171588,42164,26325,15839,308670,156334,152336,28963,18134,10829,1097444,564339,533105,83188,60622,22566,437652,197779,239873,13217,10842,2375,JALGAON,MAHARASHTRA,2011
107179,51690,55489,2220,1500,720,105949,50253,55696,2490,1910,580,94862,46750,48112,2310,1990,320,301321,156558,144763,4610,4230,380,97222,46646,50576,210,190,20,JALNA,MAHARASHTRA,1991
121445,63664,57781,6709,5036,1673,111899,53254,58645,7559,6028,1531,111785,53797,57988,5069,4204,865,336193,174158,162035,9046,7951,1095,170654,76247,94407,705,652,53,JALNA,MAHARASHTRA,2001
185191,97565,87626,12753,8678,4075,159489,81550,77939,15022,10731,4291,137168,69706,67462,10869,8056,2813,443492,224714,218778,20211,16136,4075,215655,98447,117208,2685,2343,342,JALNA,MAHARASHTRA,2011
269424,136683,132741,17230,11850,5380,252941,120619,132322,16380,12320,4060,223264,109327,113937,14140,11430,2710,738442,378371,360071,28300,24170,4130,232174,110441,121733,1650,1490,160,KOLHAPUR,MAHARASHTRA,1991
308665,158898,149767,33813,20555,13258,296516,145080,151436,37737,25435,12302,275483,135780,139703,27618,20222,7396,939744,475626,464118,63231,50018,13213,330829,150830,179999,6333,5435,898,KOLHAPUR,MAHARASHTRA,2001
359124,182594,176530,51433,26440,24993,327214,165576,161638,58832,34698,24134,293900,145394,148506,44983,27632,17351,1141765,571415,570350,111466,79934,31532,450783,211704,239079,17415,14065,3350,KOLHAPUR,MAHARASHTRA,2011
134278,66739,67539,4540,3460,1080,120353,57731,62622,4130,3480,650,109690,54610,55080,4530,4030,500,356304,185949,170355,9760,9070,690,119107,59916,59191,300,280,20,LATUR,MAHARASHTRA,1991
170378,92402,77976,15427,11342,4085,150993,74317,76676,16912,13091,3821,140230,69895,70335,11195,9166,2029,421362,219578,201784,24922,21913,3009,229486,107143,122343,2287,2137,150,LATUR,MAHARASHTRA,2001
234429,127223,107206,27431,16934,10497,194812,100329,94483,27243,18317,8926,171707,86108,85599,19561,13668,5893,571013,294298,276715,46657,37198,9459,294752,140947,153805,8150,7252,898,LATUR,MAHARASHTRA,2011
393506,243553,149953,49698,24764,24934,354373,209592,144781,59773,31663,28110,289243,169414,119829,45376,25176,20200,917044,519176,397868,122753,70737,52016,257136,123155,133981,27612,18038,9574,MUMBAI,MAHARASHTRA,2001
334119,198073,136046,65842,32341,33501,325168,186723,138445,83507,42743,40764,272932,153652,119280,61824,31920,29904,945196,512918,432278,175169,94690,80479,298701,143883,154818,44634,25989,18645,MUMBAI,MAHARASHTRA,2011
952124,555408,396716,137656,68858,68798,902025,504794,397231,173673,91189,82484,755606,422630,332976,137247,75336,61911,2280656,1263574,1017082,363947,217922,146025,521068,262131,258937,56087,41641,14446,MUMBAI SUBURBAN,MAHARASHTRA,2001
999427,563925,435502,200216,101326,98890,985170,541602,443568,266678,137559,129119,837047,455539,381508,209681,108681,101000,2782902,1489229,1293673,570030,309675,260355,767618,386138,381480,118638,76720,41918,MUMBAI SUBURBAN,MAHARASHTRA,2011
333674,177785,155889,28190,14650,13540,281218,143558,137660,30910,19130,11780,236696,125141,111555,25130,16920,8210,740745,396328,344417,57239,43041,14198,234283,119964,114319,6770,5710,1060,NAGPUR,MAHARASHTRA,1991
400847,211683,189164,47855,22528,25327,370307,189475,180832,59450,31163,28287,327439,171043,156396,48836,28774,20062,989717,525183,464534,119647,79861,39786,338049,160457,177592,16566,12931,3635,NAGPUR,MAHARASHTRA,2001
470263,240179,230084,71364,30577,40787,437587,221869,215718,94463,44367,50096,391140,201198,189942,77073,38821,38252,1350412,701870,648542,213756,125854,87902,438736,208763,229973,38323,27710,10613,NAGPUR,MAHARASHTRA,2011
188741,92322,96419,5716,4536,1180,176805,85308,91497,5998,5038,960,154516,79063,75453,5140,4540,600,481360,249903,231457,11380,10660,720,159294,76941,82353,490,450,40,NANDED,MAHARASHTRA,1991
229289,121032,108257,17868,13134,4734,215426,104582,110844,24936,19879,5057,200453,100325,100128,16907,14183,2724,578712,301863,276849,29710,25784,3926,268085,120615,147470,2302,2093,209,NANDED,MAHARASHTRA,2001
328772,174477,154295,28870,18411,10459,282116,143647,138469,29119,19881,9238,246228,124549,121679,22772,16434,6338,777508,396850,380658,59582,48071,11511,321226,148061,173165,7180,6361,819,NANDED,MAHARASHTRA,2011
105524,52328,53196,5051,3366,1685,98060,47778,50282,6454,4724,1730,92368,44942,47426,5944,4801,1143,287556,148244,139312,10322,8776,1546,94983,42382,52601,711,633,78,NANDURBAR,MAHARASHTRA,2001
150545,74923,75622,10394,6089,4305,125564,63025,62539,9869,6391,3478,110628,54138,56490,7041,4751,2290,392669,198240,194429,19378,15242,4136,128656,58816,69840,2025,1725,300,NANDURBAR,MAHARASHTRA,2011
333216,167148,166068,19450,12350,7100,314184,155794,158390,21883,15530,6353,267181,137639,129542,15324,11504,3820,835839,432476,403363,30928,24828,6100,239462,118502,120960,1930,1720,210,NASHIK,MAHARASHTRA,1991
464029,250327,213702,38778,22374,16404,401766,203225,198541,47743,30056,17687,364165,185102,179063,39141,26841,12300,1122084,586511,535573,77579,57389,20190,376144,171032,205112,6955,5565,1390,NASHIK,MAHARASHTRA,2001
611895,314437,297458,67265,35693,31572,558759,288776,269983,78786,45994,32792,474438,245531,228907,59232,35332,23900,1526812,789614,737198,147505,100558,46947,514471,239964,274507,19340,14765,4575,NASHIK,MAHARASHTRA,2011
104137,52773,51364,4546,3706,840,94286,46423,47863,3813,3210,603,81702,40930,40772,2820,2470,350,290123,148759,141364,7760,7230,530,105361,53929,51432,230,220,10,OSMANABAD,MAHARASHTRA,1991
113620,61916,51704,10200,7598,2602,107728,52463,55265,11644,9299,2345,99171,49294,49877,7768,6606,1162,313655,162768,150887,15176,13578,1598,186867,88206,98661,1395,1320,75,OSMANABAD,MAHARASHTRA,2001
157097,85841,71256,18303,11668,6635,131296,68384,62912,18623,13017,5606,111430,56298,55132,13188,9748,3440,397920,203169,194751,28464,23850,4614,227210,108447,118763,4785,4314,471,OSMANABAD,MAHARASHTRA,2011
167483,80506,86977,5340,4030,1310,164369,79255,85114,4900,4070,830,147914,73385,74529,4220,3670,550,462597,239830,222767,10210,9580,630,150982,72062,78920,240,230,10,PARBHANI,MAHARASHTRA,1991
112920,58839,54081,8589,6237,2352,106357,50755,55602,10043,7830,2213,105615,51272,54343,6711,5489,1222,319993,165287,154706,14295,12413,1882,160082,71132,88950,1158,1074,84,PARBHANI,MAHARASHTRA,2001
173587,91586,82001,15691,9869,5822,147002,74873,72129,15967,10943,5024,129188,64347,64841,11843,8568,3275,427092,216036,211056,26128,20995,5133,193661,88774,104887,3591,3177,414,PARBHANI,MAHARASHTRA,2011
532049,272032,260017,55690,31220,24470,491041,243371,247670,53220,32600,20620,420964,219335,201629,43373,27493,15880,1296699,682469,614230,97460,67540,29920,382246,191066,191180,13410,10420,2990,PUNE,MAHARASHTRA,1991
721875,384601,337274,98756,51768,46988,670978,342315,328663,120658,66919,53739,582215,302738,279477,91657,56130,35527,1787779,932657,855122,207141,131466,75675,583449,280149,303300,32841,23313,9528,PUNE,MAHARASHTRA,2001
1028019,537628,490391,198440,99902,98538,998018,521114,476904,272029,142232,129797,819858,434963,384895,203757,113055,90702,2533973,1313929,1220044,420816,251582,169234,856466,418108,438358,81629,53323,28306,PUNE,MAHARASHTRA,2011
165757,78178,87579,7380,3910,3470,149515,69320,80195,8459,5460,2999,131671,65368,66303,6740,4670,2070,422246,211737,210509,10079,7730,2349,119968,56188,63780,600,520,80,RAIGARH,MAHARASHTRA,1991
200386,101623,98763,15243,8006,7237,194115,95362,98753,21847,12170,9677,173297,88130,85167,17997,11545,6452,537210,273927,263283,29239,20889,8350,177849,81688,96161,2101,1654,447,RAIGARH,MAHARASHTRA,2001
253293,129247,124046,34834,16899,17935,243936,123979,119957,44601,23344,21257,215669,109793,105876,34530,18913,15617,749980,385263,364717,78937,49896,29041,245431,114435,130996,7937,5634,2303,RAIGARH,MAHARASHTRA,2011
124503,51388,73115,4514,2504,2010,109763,43188,66575,4577,2960,1617,92699,38315,54384,3680,2450,1230,380199,161568,218631,7360,5740,1620,150493,67410,83083,490,450,40,RATNAGIRI,MAHARASHTRA,1991
131991,59050,72941,6889,3390,3499,127053,55448,71605,9647,5416,4231,115372,52135,63237,8159,5251,2908,429044,192838,236206,14920,10552,4368,200987,86666,114321,1316,1049,267,RATNAGIRI,MAHARASHTRA,2001
122290,56359,65931,12544,6103,6441,111560,50446,61114,12680,6512,6168,108859,48514,60345,10033,5375,4658,483973,223288,260685,28477,17856,10621,243040,102867,140173,3672,2568,1104,RATNAGIRI,MAHARASHTRA,2011
192533,97376,95157,13600,8820,4780,176146,82104,94042,11860,8240,3620,157362,76503,80859,10070,7610,2460,545986,278262,267724,22920,18980,3940,194967,101420,93547,1610,1430,180,SANGLI,MAHARASHTRA,1991
219161,111896,107265,22047,12689,9358,205863,97774,108089,24366,15709,8657,188558,91396,97162,18459,13219,5240,664880,333092,331788,44822,34681,10141,277778,131755,146023,4486,3754,732,SANGLI,MAHARASHTRA,2001
257962,130447,127515,39026,19879,19147,230281,113937,116344,40890,23534,17356,202781,98870,103911,28510,17179,11331,799323,395791,403532,74368,52283,22085,353938,169282,184656,12971,10233,2738,SANGLI,MAHARASHTRA,2011
204417,96467,107950,12093,7773,4320,185144,81001,104143,10832,7842,2990,159810,70916,88894,8310,6350,1960,596306,284807,311499,20010,17040,2970,218361,106237,112124,1170,1100,70,SATARA,MAHARASHTRA,1991
236298,119126,117172,23297,13316,9981,218460,104085,114375,25781,16797,8984,197640,94925,102715,19083,13735,5348,712299,345851,366448,42541,33249,9292,317276,146965,170311,3756,3204,552,SATARA,MAHARASHTRA,2001
271808,135212,136596,42591,20457,22134,241713,119839,121874,41935,23122,18813,214455,104928,109527,30359,17691,12668,862882,424742,438140,77741,54822,22919,394857,186392,208465,12362,9837,2525,SATARA,MAHARASHTRA,2011
71340,31760,39580,3710,2010,1700,60271,27448,32823,3290,2100,1190,47523,22142,25381,2270,1730,540,216113,96474,119639,5430,4330,1100,95742,41630,54112,350,340,10,SINDHUDURG,MAHARASHTRA,1991
70225,32983,37242,4977,2377,2600,68103,31042,37061,6210,3467,2743,61858,29795,32063,5091,3242,1849,233122,111297,121825,10172,7151,3021,113994,49224,64770,1173,935,238,SINDHUDURG,MAHARASHTRA,2001
64768,32084,32684,7264,3377,3887,59942,29890,30052,7503,3939,3564,59690,29031,30659,6215,3339,2876,268967,132336,136631,17630,11161,6469,136602,60079,76523,2856,2010,846,SINDHUDURG,MAHARASHTRA,2011
285748,142751,142997,12660,8910,3750,256347,122743,133604,12820,10030,2790,226183,112157,114026,10740,8550,2190,731878,379537,352341,22430,19630,2800,249134,128638,120496,1570,1450,120,SOLAPUR,MAHARASHTRA,1991
319172,167583,151589,23066,15364,7702,294175,143230,150945,25407,18282,7125,274695,134470,140225,18682,14380,4302,918712,472450,446262,43736,35244,8492,368227,175531,192696,4260,3620,640,SOLAPUR,MAHARASHTRA,2001
422422,223496,198926,48792,28776,20016,354912,182587,172325,49760,31860,17900,305901,152022,153879,35074,23343,11731,1121695,563222,558473,86527,64681,21846,472239,228849,243390,14250,11718,2532,SOLAPUR,MAHARASHTRA,2011
525174,273292,251882,43130,21190,21940,535252,272855,262397,50798,27548,23250,462891,253565,209326,48470,31390,17080,1177543,670581,506962,80290,59830,20460,237989,117519,120470,5980,4920,1060,THANE,MAHARASHTRA,1991
826262,462979,363283,92434,45251,47183,833515,447587,385928,133013,68761,64252,728316,398154,330162,113631,65728,47903,2029205,1122491,906714,235407,156304,79103,420149,201260,218889,20581,16129,4452,THANE,MAHARASHTRA,2001
